"Confirmed","Date","Type","Label","Address","Amount (RVN)","Asset","ID"
"true","2018-09-21T23:39:58","Received with","Mining","R9vTgLGABP8C1M4ayKt7qAibDGy4eNKBWQ","6.76622531","RVN","cf5db53ec59d49001daba687f9d2e345b70c1cdc456c41292bffb65ac79e8775"
"true","2018-09-20T23:35:37","Received with","Mining","R9vTgLGABP8C1M4ayKt7qAibDGy4eNKBWQ","6.70592171","RVN","777cae47d2b46c7c6a81818ae85f076767e18fa7c53dfb50b26e4e17298d1b4d"
"true","2018-09-19T23:28:48","Received with","Mining","R9vTgLGABP8C1M4ayKt7qAibDGy4eNKBWQ","8.18582348","RVN","150b1fce67a42bfcf544b9cbfec4c1764a95133bb204c58e0c201a27d620b841"
"true","2018-09-18T23:21:35","Received with","Mining","R9vTgLGABP8C1M4ayKt7qAibDGy4eNKBWQ","7.76935648","RVN","59ceb5f732a34d066e0e50d59b3145d9d554d34b336ba423d9528770d1169889"
"true","2018-09-17T23:18:32","Received with","Mining","R9vTgLGABP8C1M4ayKt7qAibDGy4eNKBWQ","8.19537607","RVN","8cbd19dc7ad617c71995539ba3f44f6a95890fd4a76680fb8f4091232f823860"
"true","2018-09-16T23:10:34","Received with","Mining","R9vTgLGABP8C1M4ayKt7qAibDGy4eNKBWQ","5.79638121","RVN","3f72bdf07207146e4aa279e862c4e5b61ae07ad61ef428713cbceeed538387da"
"true","2018-09-16T20:08:13","Received with","Mining","R9vTgLGABP8C1M4ayKt7qAibDGy4eNKBWQ","6.77125522","RVN","85ad842b2814b474ada2d30a48585f20b2cead397cd468f6cb061e31a154fdfe"
"true","2018-09-16T17:10:32","Received with","Mining","R9vTgLGABP8C1M4ayKt7qAibDGy4eNKBWQ","6.06240769","RVN","54c1d6ea8032df4a73b626026cc5919e57b1e251303e848b20d284eba3247cd9"
"true","2018-09-16T14:11:21","Received with","Mining","R9vTgLGABP8C1M4ayKt7qAibDGy4eNKBWQ","5.12908151","RVN","10e738593cb4e5feaa017d09e517254f3102437c292621a325a6a709522bc50a"
"true","2018-09-16T02:08:30","Received with","Mining","R9vTgLGABP8C1M4ayKt7qAibDGy4eNKBWQ","9.44242400","RVN","a099aa2fd1a950e0aa40ef9b62da3470fd93aa286ed4253e8c767f575e14a6fa"
"true","2018-09-15T20:03:20","Received with","Mining","R9vTgLGABP8C1M4ayKt7qAibDGy4eNKBWQ","7.04915249","RVN","e32aaecfa0e344f730169047e965df5c2cca0f7aaea64206dc37a70ea42d2e81"
"true","2018-09-15T17:06:36","Received with","Mining","R9vTgLGABP8C1M4ayKt7qAibDGy4eNKBWQ","6.10953849","RVN","bdc5d78d345dc9fe644b74b03070eeed05c54c4f38400ed4f0aa17957ddf8e3a"
"true","2018-09-15T14:01:04","Received with","Mining","R9vTgLGABP8C1M4ayKt7qAibDGy4eNKBWQ","5.46769692","RVN","c88c6d172d00391023caf08bc7ced4934a02f115e7b0583fa4914c9824114270"
"true","2018-09-15T01:56:33","Received with","Mining","R9vTgLGABP8C1M4ayKt7qAibDGy4eNKBWQ","5.77989596","RVN","db78cce4acca93a4baa2fbe7499b5bff87918c55e325f6b6d539e7126b331e3b"
"true","2018-09-14T22:55:24","Received with","Mining","R9vTgLGABP8C1M4ayKt7qAibDGy4eNKBWQ","8.27363118","RVN","813f0c7cb969df1a1ac2179127bf928c10b609e3063bec1e65d8a3ca91869115"
"true","2018-09-13T22:50:42","Received with","Mining","R9vTgLGABP8C1M4ayKt7qAibDGy4eNKBWQ","7.87006122","RVN","aea99cf1186c0b77501b6bc3889e66fcd7e306e3c960d9acdd84b65fbdafa30f"
"true","2018-09-12T01:35:56","Received with","Mining","R9vTgLGABP8C1M4ayKt7qAibDGy4eNKBWQ","5.57388990","RVN","af4899841332be8780c48ea768ed6208be49c70ef281c181618b454df84196fc"
"true","2018-09-11T01:25:35","Received with","Mining","R9vTgLGABP8C1M4ayKt7qAibDGy4eNKBWQ","5.23878968","RVN","177b534519ba8298cab3a498f82042c2538a7ea1eb4e042bd4a130ae1530df31"
"true","2018-09-10T22:23:34","Received with","Mining","R9vTgLGABP8C1M4ayKt7qAibDGy4eNKBWQ","8.39227525","RVN","03c51ac88fe204f99d833730024b19b3e989b18af67abca2a092ef2d92a249f9"
"true","2018-09-09T22:15:34","Received with","Mining","R9vTgLGABP8C1M4ayKt7qAibDGy4eNKBWQ","6.49077532","RVN","db1eaea39c65575f4558cd0a0f35ca666ee8ae99a5451961e48eb3b8bb69d176"
"true","2018-09-09T19:15:59","Received with","Mining","R9vTgLGABP8C1M4ayKt7qAibDGy4eNKBWQ","8.24957134","RVN","a5171f1b66c06aa5b2e433eacb1578328ad3647f925ad97a0611d05281ced945"
"true","2018-09-09T04:09:12","Received with","Mining","R9vTgLGABP8C1M4ayKt7qAibDGy4eNKBWQ","5.24696034","RVN","1aed1bb4ba49d05961bd63bd22030615d90f9da78f73004e122ff99861779c4f"
"true","2018-09-08T22:10:16","Received with","Mining","R9vTgLGABP8C1M4ayKt7qAibDGy4eNKBWQ","7.10993874","RVN","c02418a17c57c9f541fb90ad5f77c243e7e486ee6c1aceaf2e674dc7aa41a5d9"
"true","2018-09-08T19:05:47","Received with","Mining","R9vTgLGABP8C1M4ayKt7qAibDGy4eNKBWQ","6.99844779","RVN","1b3601738962043beb273cf9aa8a4e211a757d2bc2e7e90cdf6e7df16aee68f0"
"true","2018-09-08T16:10:21","Received with","Mining","R9vTgLGABP8C1M4ayKt7qAibDGy4eNKBWQ","9.45289014","RVN","a2e6c1138b3b3baa9a191741899accbda19488f27c24c562f184981a22c0ce5a"
"true","2018-09-08T01:10:19","Received with","Mining","R9vTgLGABP8C1M4ayKt7qAibDGy4eNKBWQ","8.68694063","RVN","2b627abf75e6e6355f8dde3c281b8f7a467eba9868012bc67cbdddcf045daa2f"
"true","2018-09-07T00:55:07","Received with","Mining","R9vTgLGABP8C1M4ayKt7qAibDGy4eNKBWQ","9.47282465","RVN","64598cd9d26d3f45c3a73af4016a8c4f223186508b13d1ae5a2a9980308dcf5b"
"true","2018-09-06T00:47:53","Received with","Mining","R9vTgLGABP8C1M4ayKt7qAibDGy4eNKBWQ","9.05615436","RVN","d91ff7808fbbf9608d2b068bfe280d68bd34c0ac93223e5c2131a51970a8ef8b"
